code	dx_cat
0010	gi
0011	gi
0019	gi
0020	gi
0021	gi
0022	gi
0023	gi
0029	gi
0030	gi
0031	gi
00320	gi
00321	gi
00322	gi
00323	gi
00324	gi
00329	gi
0038	gi
0039	gi
0040	gi
0041	gi
0042	gi
0043	gi
0048	gi
0049	gi
0050	gi
0051	gi
0052	gi
0053	gi
0054	gi
00581	gi
00589	gi
0059	gi
0060	gi
0061	gi
0062	gi
0063	gi
0064	gi
0065	gi
0066	gi
0068	gi
0069	gi
0070	gi
0071	gi
0072	gi
0073	gi
0074	gi
0075	gi
0078	gi
0079	gi
00800	gi
00801	gi
00802	gi
00803	gi
00804	gi
00809	gi
0081	gi
0082	gi
0083	gi
00841	gi
00842	gi
00843	gi
00844	gi
00845	gi
00846	gi
00847	gi
00849	gi
0085	gi
00861	gi
00862	gi
00863	gi
00864	gi
00865	gi
00866	gi
00867	gi
00869	gi
0088	gi
0090	gi
0091	gi
0092	gi
0093	gi
01000	misc_bacterial
01001	misc_bacterial
01002	misc_bacterial
01003	misc_bacterial
01004	misc_bacterial
01005	misc_bacterial
01006	misc_bacterial
01010	misc_bacterial
01011	misc_bacterial
01012	misc_bacterial
01013	misc_bacterial
01014	misc_bacterial
01015	misc_bacterial
01016	misc_bacterial
01080	misc_bacterial
01081	misc_bacterial
01082	misc_bacterial
01083	misc_bacterial
01084	misc_bacterial
01085	misc_bacterial
01086	misc_bacterial
01090	misc_bacterial
01091	misc_bacterial
01092	misc_bacterial
01093	misc_bacterial
01094	misc_bacterial
01095	misc_bacterial
01096	misc_bacterial
01100	misc_bacterial
01101	misc_bacterial
01102	misc_bacterial
01103	misc_bacterial
01104	misc_bacterial
01105	misc_bacterial
01106	misc_bacterial
01110	misc_bacterial
01111	misc_bacterial
01112	misc_bacterial
01113	misc_bacterial
01114	misc_bacterial
01115	misc_bacterial
01116	misc_bacterial
01120	misc_bacterial
01121	misc_bacterial
01122	misc_bacterial
01123	misc_bacterial
01124	misc_bacterial
01125	misc_bacterial
01126	misc_bacterial
01130	misc_bacterial
01131	misc_bacterial
01132	misc_bacterial
01133	misc_bacterial
01134	misc_bacterial
01135	misc_bacterial
01136	misc_bacterial
01140	misc_bacterial
01141	misc_bacterial
01142	misc_bacterial
01143	misc_bacterial
01144	misc_bacterial
01145	misc_bacterial
01146	misc_bacterial
01150	misc_bacterial
01151	misc_bacterial
01152	misc_bacterial
01153	misc_bacterial
01154	misc_bacterial
01155	misc_bacterial
01156	misc_bacterial
01160	misc_bacterial
01161	misc_bacterial
01162	misc_bacterial
01163	misc_bacterial
01164	misc_bacterial
01165	misc_bacterial
01166	misc_bacterial
01170	misc_bacterial
01171	misc_bacterial
01172	misc_bacterial
01173	misc_bacterial
01174	misc_bacterial
01175	misc_bacterial
01176	misc_bacterial
01180	misc_bacterial
01181	misc_bacterial
01182	misc_bacterial
01183	misc_bacterial
01184	misc_bacterial
01185	misc_bacterial
01186	misc_bacterial
01190	misc_bacterial
01191	misc_bacterial
01192	misc_bacterial
01193	misc_bacterial
01194	misc_bacterial
01195	misc_bacterial
01196	misc_bacterial
01200	misc_bacterial
01201	misc_bacterial
01202	misc_bacterial
01203	misc_bacterial
01204	misc_bacterial
01205	misc_bacterial
01206	misc_bacterial
01210	misc_bacterial
01211	misc_bacterial
01212	misc_bacterial
01213	misc_bacterial
01214	misc_bacterial
01215	misc_bacterial
01216	misc_bacterial
01220	misc_bacterial
01221	misc_bacterial
01222	misc_bacterial
01223	misc_bacterial
01224	misc_bacterial
01225	misc_bacterial
01226	misc_bacterial
01230	misc_bacterial
01231	misc_bacterial
01232	misc_bacterial
01233	misc_bacterial
01234	misc_bacterial
01235	misc_bacterial
01236	misc_bacterial
01280	misc_bacterial
01281	misc_bacterial
01282	misc_bacterial
01283	misc_bacterial
01284	misc_bacterial
01285	misc_bacterial
01286	misc_bacterial
01300	misc_bacterial
01301	misc_bacterial
01302	misc_bacterial
01303	misc_bacterial
01304	misc_bacterial
01305	misc_bacterial
01306	misc_bacterial
01310	misc_bacterial
01311	misc_bacterial
01312	misc_bacterial
01313	misc_bacterial
01314	misc_bacterial
01315	misc_bacterial
01316	misc_bacterial
01320	misc_bacterial
01321	misc_bacterial
01322	misc_bacterial
01323	misc_bacterial
01324	misc_bacterial
01325	misc_bacterial
01326	misc_bacterial
01330	misc_bacterial
01331	misc_bacterial
01332	misc_bacterial
01333	misc_bacterial
01334	misc_bacterial
01335	misc_bacterial
01336	misc_bacterial
01340	misc_bacterial
01341	misc_bacterial
01342	misc_bacterial
01343	misc_bacterial
01344	misc_bacterial
01345	misc_bacterial
01346	misc_bacterial
01350	misc_bacterial
01351	misc_bacterial
01352	misc_bacterial
01353	misc_bacterial
01354	misc_bacterial
01355	misc_bacterial
01356	misc_bacterial
01360	misc_bacterial
01361	misc_bacterial
01362	misc_bacterial
01363	misc_bacterial
01364	misc_bacterial
01365	misc_bacterial
01366	misc_bacterial
01380	misc_bacterial
01381	misc_bacterial
01382	misc_bacterial
01383	misc_bacterial
01384	misc_bacterial
01385	misc_bacterial
01386	misc_bacterial
01390	misc_bacterial
01391	misc_bacterial
01392	misc_bacterial
01393	misc_bacterial
01394	misc_bacterial
01395	misc_bacterial
01396	misc_bacterial
01400	misc_bacterial
01401	misc_bacterial
01402	misc_bacterial
01403	misc_bacterial
01404	misc_bacterial
01405	misc_bacterial
01406	misc_bacterial
01480	misc_bacterial
01481	misc_bacterial
01482	misc_bacterial
01483	misc_bacterial
01484	misc_bacterial
01485	misc_bacterial
01486	misc_bacterial
01500	misc_bacterial
01501	misc_bacterial
01502	misc_bacterial
01503	misc_bacterial
01504	misc_bacterial
01505	misc_bacterial
01506	misc_bacterial
01510	misc_bacterial
01511	misc_bacterial
01512	misc_bacterial
01513	misc_bacterial
01514	misc_bacterial
01515	misc_bacterial
01516	misc_bacterial
01520	misc_bacterial
01521	misc_bacterial
01522	misc_bacterial
01523	misc_bacterial
01524	misc_bacterial
01525	misc_bacterial
01526	misc_bacterial
01550	misc_bacterial
01551	misc_bacterial
01552	misc_bacterial
01553	misc_bacterial
01554	misc_bacterial
01555	misc_bacterial
01556	misc_bacterial
01560	misc_bacterial
01561	misc_bacterial
01562	misc_bacterial
01563	misc_bacterial
01564	misc_bacterial
01565	misc_bacterial
01566	misc_bacterial
01570	misc_bacterial
01571	misc_bacterial
01572	misc_bacterial
01573	misc_bacterial
01574	misc_bacterial
01575	misc_bacterial
01576	misc_bacterial
01580	misc_bacterial
01581	misc_bacterial
01582	misc_bacterial
01583	misc_bacterial
01584	misc_bacterial
01585	misc_bacterial
01586	misc_bacterial
01590	misc_bacterial
01591	misc_bacterial
01592	misc_bacterial
01593	misc_bacterial
01594	misc_bacterial
01595	misc_bacterial
01596	misc_bacterial
01600	misc_bacterial
01601	misc_bacterial
01602	misc_bacterial
01603	misc_bacterial
01604	misc_bacterial
01605	misc_bacterial
01606	misc_bacterial
01610	misc_bacterial
01611	misc_bacterial
01612	misc_bacterial
01613	misc_bacterial
01614	misc_bacterial
01615	misc_bacterial
01616	misc_bacterial
01620	misc_bacterial
01621	misc_bacterial
01622	misc_bacterial
01623	misc_bacterial
01624	misc_bacterial
01625	misc_bacterial
01626	misc_bacterial
01630	misc_bacterial
01631	misc_bacterial
01632	misc_bacterial
01633	misc_bacterial
01634	misc_bacterial
01635	misc_bacterial
01636	misc_bacterial
01640	misc_bacterial
01641	misc_bacterial
01642	misc_bacterial
01643	misc_bacterial
01644	misc_bacterial
01645	misc_bacterial
01646	misc_bacterial
01650	misc_bacterial
01651	misc_bacterial
01652	misc_bacterial
01653	misc_bacterial
01654	misc_bacterial
01655	misc_bacterial
01656	misc_bacterial
01660	misc_bacterial
01661	misc_bacterial
01662	misc_bacterial
01663	misc_bacterial
01664	misc_bacterial
01665	misc_bacterial
01666	misc_bacterial
01670	misc_bacterial
01671	misc_bacterial
01672	misc_bacterial
01673	misc_bacterial
01674	misc_bacterial
01675	misc_bacterial
01676	misc_bacterial
01690	misc_bacterial
01691	misc_bacterial
01692	misc_bacterial
01693	misc_bacterial
01694	misc_bacterial
01695	misc_bacterial
01696	misc_bacterial
01700	misc_bacterial
01701	misc_bacterial
01702	misc_bacterial
01703	misc_bacterial
01704	misc_bacterial
01705	misc_bacterial
01706	misc_bacterial
01710	misc_bacterial
01711	misc_bacterial
01712	misc_bacterial
01713	misc_bacterial
01714	misc_bacterial
01715	misc_bacterial
01716	misc_bacterial
01720	misc_bacterial
01721	misc_bacterial
01722	misc_bacterial
01723	misc_bacterial
01724	misc_bacterial
01725	misc_bacterial
01726	misc_bacterial
01730	misc_bacterial
01731	misc_bacterial
01732	misc_bacterial
01733	misc_bacterial
01734	misc_bacterial
01735	misc_bacterial
01736	misc_bacterial
01740	misc_bacterial
01741	misc_bacterial
01742	misc_bacterial
01743	misc_bacterial
01744	misc_bacterial
01745	misc_bacterial
01746	misc_bacterial
01750	misc_bacterial
01751	misc_bacterial
01752	misc_bacterial
01753	misc_bacterial
01754	misc_bacterial
01755	misc_bacterial
01756	misc_bacterial
01760	misc_bacterial
01761	misc_bacterial
01762	misc_bacterial
01763	misc_bacterial
01764	misc_bacterial
01765	misc_bacterial
01766	misc_bacterial
01770	misc_bacterial
01771	misc_bacterial
01772	misc_bacterial
01773	misc_bacterial
01774	misc_bacterial
01775	misc_bacterial
01776	misc_bacterial
01780	misc_bacterial
01781	misc_bacterial
01782	misc_bacterial
01783	misc_bacterial
01784	misc_bacterial
01785	misc_bacterial
01786	misc_bacterial
01790	misc_bacterial
01791	misc_bacterial
01792	misc_bacterial
01793	misc_bacterial
01794	misc_bacterial
01795	misc_bacterial
01796	misc_bacterial
01800	misc_bacterial
01801	misc_bacterial
01802	misc_bacterial
01803	misc_bacterial
01804	misc_bacterial
01805	misc_bacterial
01806	misc_bacterial
01880	misc_bacterial
01881	misc_bacterial
01882	misc_bacterial
01883	misc_bacterial
01884	misc_bacterial
01885	misc_bacterial
01886	misc_bacterial
01890	misc_bacterial
01891	misc_bacterial
01892	misc_bacterial
01893	misc_bacterial
01894	misc_bacterial
01895	misc_bacterial
01896	misc_bacterial
0200	misc_bacterial
0201	misc_bacterial
0202	misc_bacterial
0203	misc_bacterial
0204	misc_bacterial
0205	misc_bacterial
0208	misc_bacterial
0209	misc_bacterial
0210	misc_bacterial
0211	misc_bacterial
0212	misc_bacterial
0213	misc_bacterial
0218	misc_bacterial
0219	misc_bacterial
0220	misc_bacterial
0221	misc_bacterial
0222	misc_bacterial
0223	misc_bacterial
0228	misc_bacterial
0229	misc_bacterial
0230	misc_bacterial
0231	misc_bacterial
0232	misc_bacterial
0233	misc_bacterial
0238	misc_bacterial
0239	misc_bacterial
024	misc_bacterial
025	misc_bacterial
0260	misc_bacterial
0261	misc_bacterial
0269	misc_bacterial
0270	misc_bacterial
0271	misc_bacterial
0272	misc_bacterial
0278	misc_bacterial
0279	misc_bacterial
0300	misc_bacterial
0301	misc_bacterial
0302	misc_bacterial
0303	misc_bacterial
0308	misc_bacterial
0309	misc_bacterial
0310	misc_bacterial
0311	misc_bacterial
0312	misc_bacterial
0318	misc_bacterial
0319	misc_bacterial
0320	misc_bacterial
0321	misc_bacterial
0322	misc_bacterial
0323	misc_bacterial
03281	misc_bacterial
03282	misc_bacterial
03283	misc_bacterial
03284	misc_bacterial
03285	misc_bacterial
03289	misc_bacterial
0329	misc_bacterial
0330	misc_bacterial
0331	misc_bacterial
0338	misc_bacterial
0339	misc_bacterial
0340	pharyngitis
0341	pharyngitis
035	ssti
0360	misc_bacterial
0361	misc_bacterial
0362	misc_bacterial
0363	misc_bacterial
03640	misc_bacterial
03641	misc_bacterial
03642	misc_bacterial
03643	misc_bacterial
03681	misc_bacterial
03682	misc_bacterial
03689	misc_bacterial
0369	misc_bacterial
037	misc_bacterial
0380	misc_bacterial
03810	misc_bacterial
03811	misc_bacterial
03812	misc_bacterial
03819	misc_bacterial
0382	misc_bacterial
0383	misc_bacterial
03840	misc_bacterial
03841	misc_bacterial
03842	misc_bacterial
03843	misc_bacterial
03844	misc_bacterial
03849	misc_bacterial
0388	misc_bacterial
0389	misc_bacterial
0390	misc_bacterial
0391	misc_bacterial
0392	misc_bacterial
